,occupation,gender,employee_new,year
328,Production occupations,Men,287000,2020
329,Transportation and material moving occupations,Men,1891000,2020
330,"Management, business, and financial operations occupations",Men,708000,2020
331,Professional and related occupations,Men,303000,2020
332,Protective service occupations,Men,34000,2020
333,"Service occupations, except protective",Men,62000,2020
334,Sales and related occupations,Men,81000,2020
335,Office and administrative support occupations,Men,1023000,2020
336,"Farming, fishing, and forestry occupations",Men,2000,2020
337,Construction and extraction occupations,Men,205000,2020
338,"Installation, maintenance, and repair occupations",Men,502000,2020
339,Production occupations,Men,301000,2020
340,Transportation and material moving occupations,Men,3271000,2020
341,"Management, business, and financial operations occupations",Men,361000,2020
342,Professional and related occupations,Men,690000,2020
343,Protective service occupations,Men,3000,2020
344,"Service occupations, except protective",Men,22000,2020
345,Sales and related occupations,Men,118000,2020
346,Office and administrative support occupations,Men,114000,2020
347,"Farming, fishing, and forestry occupations",Men,0,2020
348,Construction and extraction occupations,Men,12000,2020
349,"Installation, maintenance, and repair occupations",Men,194000,2020
350,Production occupations,Men,15000,2020
351,Transportation and material moving occupations,Men,16000,2020
352,"Management, business, and financial operations occupations",Men,2454000,2020
353,Professional and related occupations,Men,621000,2020
354,Protective service occupations,Men,36000,2020
355,"Service occupations, except protective",Men,146000,2020
356,Sales and related occupations,Men,1140000,2020
357,Office and administrative support occupations,Men,430000,2020
358,"Farming, fishing, and forestry occupations",Men,1000,2020
359,Construction and extraction occupations,Men,46000,2020
360,"Installation, maintenance, and repair occupations",Men,151000,2020
361,Production occupations,Men,25000,2020
362,Transportation and material moving occupations,Men,72000,2020
363,"Management, business, and financial operations occupations",Men,2788000,2020
364,Professional and related occupations,Men,4224000,2020
365,Protective service occupations,Men,394000,2020
366,"Service occupations, except protective",Men,1728000,2020
367,Sales and related occupations,Men,329000,2020
368,Office and administrative support occupations,Men,509000,2020
369,"Farming, fishing, and forestry occupations",Men,10000,2020
370,Construction and extraction occupations,Men,142000,2020
371,"Installation, maintenance, and repair occupations",Men,274000,2020
372,Production occupations,Men,181000,2020
373,Transportation and material moving occupations,Men,451000,2020
374,"Management, business, and financial operations occupations",Men,1187000,2020
375,Professional and related occupations,Men,5243000,2020
376,Protective service occupations,Men,120000,2020
377,"Service occupations, except protective",Men,1236000,2020
378,Sales and related occupations,Men,33000,2020
379,Office and administrative support occupations,Men,340000,2020
380,"Farming, fishing, and forestry occupations",Men,4000,2020
381,Construction and extraction occupations,Men,75000,2020
382,"Installation, maintenance, and repair occupations",Men,181000,2020
383,Production occupations,Men,65000,2020
384,Transportation and material moving occupations,Men,187000,2020
385,"Management, business, and financial operations occupations",Men,1053000,2020
386,Professional and related occupations,Men,442000,2020
387,Protective service occupations,Men,104000,2020
388,"Service occupations, except protective",Men,3209000,2020
389,Sales and related occupations,Men,268000,2020
390,Office and administrative support occupations,Men,166000,2020
391,"Farming, fishing, and forestry occupations",Men,7000,2020
392,Construction and extraction occupations,Men,34000,2020
393,"Installation, maintenance, and repair occupations",Men,87000,2020
394,Production occupations,Men,54000,2020
395,Transportation and material moving occupations,Men,271000,2020
396,"Management, business, and financial operations occupations",Men,321000,2020
397,Professional and related occupations,Men,553000,2020
398,Protective service occupations,Men,16000,2020
399,"Service occupations, except protective",Men,476000,2020
400,Sales and related occupations,Men,260000,2020
401,Office and administrative support occupations,Men,91000,2020
402,"Farming, fishing, and forestry occupations",Men,0,2020
403,Construction and extraction occupations,Men,22000,2020
404,"Installation, maintenance, and repair occupations",Men,964000,2020
405,Production occupations,Men,266000,2020
406,Transportation and material moving occupations,Men,230000,2020
407,"Management, business, and financial operations occupations",Men,318000,2020
408,Professional and related occupations,Men,549000,2020
409,Protective service occupations,Men,16000,2020
410,"Service occupations, except protective",Men,424000,2020
411,Sales and related occupations,Men,260000,2020
412,Office and administrative support occupations,Men,91000,2020
413,"Farming, fishing, and forestry occupations",Men,0,2020
414,Construction and extraction occupations,Men,22000,2020
415,"Installation, maintenance, and repair occupations",Men,963000,2020
416,Production occupations,Men,261000,2020
417,Transportation and material moving occupations,Men,221000,2020
418,"Management, business, and financial operations occupations",Men,3000,2020
419,Professional and related occupations,Men,4000,2020
420,Protective service occupations,Men,0,2020
421,"Service occupations, except protective",Men,52000,2020
422,Sales and related occupations,Men,0,2020
423,Office and administrative support occupations,Men,0,2020
424,"Farming, fishing, and forestry occupations",Men,0,2020
425,Construction and extraction occupations,Men,0,2020
426,"Installation, maintenance, and repair occupations",Men,0,2020
427,Production occupations,Men,5000,2020
428,Transportation and material moving occupations,Men,8000,2020
429,"Management, business, and financial operations occupations",Men,681000,2020
430,Professional and related occupations,Men,968000,2020
431,Protective service occupations,Men,1506000,2020
432,"Service occupations, except protective",Men,166000,2020
433,Sales and related occupations,Men,13000,2020
434,Office and administrative support occupations,Men,297000,2020
435,"Farming, fishing, and forestry occupations",Men,8000,2020
436,Construction and extraction occupations,Men,87000,2020
437,"Installation, maintenance, and repair occupations",Men,140000,2020
438,Production occupations,Men,67000,2020
439,Transportation and material moving occupations,Men,87000,2020
462,"Management, business, and financial operations occupations",Women,253000,2020
463,Professional and related occupations,Women,22000,2020
464,Protective service occupations,Women,2000,2020
465,"Service occupations, except protective",Women,42000,2020
466,Sales and related occupations,Women,6000,2020
467,Office and administrative support occupations,Women,79000,2020
468,"Farming, fishing, and forestry occupations",Women,217000,2020
469,Construction and extraction occupations,Women,0,2020
470,"Installation, maintenance, and repair occupations",Women,2000,2020
471,Production occupations,Women,7000,2020
472,Transportation and material moving occupations,Women,20000,2020
473,"Management, business, and financial operations occupations",Women,43000,2020
474,Professional and related occupations,Women,14000,2020
475,Protective service occupations,Women,0,2020
476,"Service occupations, except protective",Women,2000,2020
477,Sales and related occupations,Women,1000,2020
478,Office and administrative support occupations,Women,28000,2020
479,"Farming, fishing, and forestry occupations",Women,0,2020
480,Construction and extraction occupations,Women,8000,2020
481,"Installation, maintenance, and repair occupations",Women,1000,2020
482,Production occupations,Women,1000,2020
483,Transportation and material moving occupations,Women,2000,2020
484,"Management, business, and financial operations occupations",Women,316000,2020
485,Professional and related occupations,Women,82000,2020
486,Protective service occupations,Women,4000,2020
487,"Service occupations, except protective",Women,14000,2020
488,Sales and related occupations,Women,32000,2020
489,Office and administrative support occupations,Women,444000,2020
490,"Farming, fishing, and forestry occupations",Women,0,2020
491,Construction and extraction occupations,Women,247000,2020
492,"Installation, maintenance, and repair occupations",Women,14000,2020
493,Production occupations,Women,7000,2020
494,Transportation and material moving occupations,Women,14000,2020
495,"Management, business, and financial operations occupations",Women,1014000,2020
496,Professional and related occupations,Women,525000,2020
497,Protective service occupations,Women,9000,2020
498,"Service occupations, except protective",Women,66000,2020
499,Sales and related occupations,Women,230000,2020
500,Office and administrative support occupations,Women,682000,2020
501,"Farming, fishing, and forestry occupations",Women,3000,2020
502,Construction and extraction occupations,Women,14000,2020
503,"Installation, maintenance, and repair occupations",Women,46000,2020
504,Production occupations,Women,1477000,2020
505,Transportation and material moving occupations,Women,230000,2020
506,"Management, business, and financial operations occupations",Women,570000,2020
507,Professional and related occupations,Women,315000,2020
508,Protective service occupations,Women,5000,2020
509,"Service occupations, except protective",Women,29000,2020
510,Sales and related occupations,Women,87000,2020
511,Office and administrative support occupations,Women,406000,2020
512,"Farming, fishing, and forestry occupations",Women,0,2020
513,Construction and extraction occupations,Women,12000,2020
514,"Installation, maintenance, and repair occupations",Women,32000,2020
515,Production occupations,Women,760000,2020
516,Transportation and material moving occupations,Women,99000,2020
517,"Management, business, and financial operations occupations",Women,445000,2020
518,Professional and related occupations,Women,210000,2020
519,Protective service occupations,Women,4000,2020
520,"Service occupations, except protective",Women,37000,2020
521,Sales and related occupations,Women,143000,2020
522,Office and administrative support occupations,Women,276000,2020
523,"Farming, fishing, and forestry occupations",Women,3000,2020
524,Construction and extraction occupations,Women,2000,2020
525,"Installation, maintenance, and repair occupations",Women,14000,2020
526,Production occupations,Women,717000,2020
527,Transportation and material moving occupations,Women,131000,2020
528,"Management, business, and financial operations occupations",Women,668000,2020
529,Professional and related occupations,Women,655000,2020
530,Protective service occupations,Women,20000,2020
531,"Service occupations, except protective",Women,346000,2020
532,Sales and related occupations,Women,4278000,2020
533,Office and administrative support occupations,Women,1291000,2020
534,"Farming, fishing, and forestry occupations",Women,18000,2020
535,Construction and extraction occupations,Women,5000,2020
536,"Installation, maintenance, and repair occupations",Women,17000,2020
537,Production occupations,Women,212000,2020
538,Transportation and material moving occupations,Women,845000,2020
539,"Management, business, and financial operations occupations",Women,179000,2020
540,Professional and related occupations,Women,67000,2020
541,Protective service occupations,Women,3000,2020
542,"Service occupations, except protective",Women,10000,2020
543,Sales and related occupations,Women,310000,2020
544,Office and administrative support occupations,Women,286000,2020
545,"Farming, fishing, and forestry occupations",Women,11000,2020
546,Construction and extraction occupations,Women,0,2020
547,"Installation, maintenance, and repair occupations",Women,4000,2020
548,Production occupations,Women,44000,2020
549,Transportation and material moving occupations,Women,107000,2020
550,"Management, business, and financial operations occupations",Women,488000,2020
551,Professional and related occupations,Women,588000,2020
552,Protective service occupations,Women,16000,2020
553,"Service occupations, except protective",Women,336000,2020
554,Sales and related occupations,Women,3968000,2020
555,Office and administrative support occupations,Women,1005000,2020
556,"Farming, fishing, and forestry occupations",Women,7000,2020
557,Construction and extraction occupations,Women,5000,2020
558,"Installation, maintenance, and repair occupations",Women,13000,2020
559,Production occupations,Women,168000,2020
560,Transportation and material moving occupations,Women,738000,2020
561,"Management, business, and financial operations occupations",Women,304000,2020
562,Professional and related occupations,Women,99000,2020
563,Protective service occupations,Women,13000,2020
564,"Service occupations, except protective",Women,38000,2020
565,Sales and related occupations,Women,69000,2020
566,Office and administrative support occupations,Women,819000,2020
567,"Farming, fishing, and forestry occupations",Women,1000,2020
568,Construction and extraction occupations,Women,5000,2020
569,"Installation, maintenance, and repair occupations",Women,13000,2020
570,Production occupations,Women,51000,2020
571,Transportation and material moving occupations,Women,646000,2020
572,"Management, business, and financial operations occupations",Women,290000,2020
573,Professional and related occupations,Women,405000,2020
574,Protective service occupations,Women,3000,2020
575,"Service occupations, except protective",Women,15000,2020
576,Sales and related occupations,Women,82000,2020
577,Office and administrative support occupations,Women,215000,2020
578,"Farming, fishing, and forestry occupations",Women,0,2020
579,Construction and extraction occupations,Women,0,2020
580,"Installation, maintenance, and repair occupations",Women,25000,2020
581,Production occupations,Women,8000,2020
582,Transportation and material moving occupations,Women,7000,2020
583,"Management, business, and financial operations occupations",Women,2276000,2020
584,Professional and related occupations,Women,460000,2020
585,Protective service occupations,Women,20000,2020
586,"Service occupations, except protective",Women,77000,2020
587,Sales and related occupations,Women,1143000,2020
588,Office and administrative support occupations,Women,1502000,2020
589,"Farming, fishing, and forestry occupations",Women,0,2020
590,Construction and extraction occupations,Women,2000,2020
591,"Installation, maintenance, and repair occupations",Women,14000,2020
592,Production occupations,Women,20000,2020
593,Transportation and material moving occupations,Women,10000,2020
594,"Management, business, and financial operations occupations",Women,2276000,2020
595,Professional and related occupations,Women,2377000,2020
596,Protective service occupations,Women,146000,2020
597,"Service occupations, except protective",Women,1029000,2020
598,Sales and related occupations,Women,255000,2020
599,Office and administrative support occupations,Women,1497000,2020
600,"Farming, fishing, and forestry occupations",Women,2000,2020
601,Construction and extraction occupations,Women,10000,2020
602,"Installation, maintenance, and repair occupations",Women,13000,2020
603,Production occupations,Women,88000,2020
604,Transportation and material moving occupations,Women,94000,2020
605,"Management, business, and financial operations occupations",Women,2506000,2020
606,Professional and related occupations,Women,14297000,2020
607,Protective service occupations,Women,58000,2020
608,"Service occupations, except protective",Women,5259000,2020
609,Sales and related occupations,Women,105000,2020
610,Office and administrative support occupations,Women,2918000,2020
611,"Farming, fishing, and forestry occupations",Women,1000,2020
612,Construction and extraction occupations,Women,8000,2020
613,"Installation, maintenance, and repair occupations",Women,16000,2020
614,Production occupations,Women,99000,2020
615,Transportation and material moving occupations,Women,165000,2020
616,"Management, business, and financial operations occupations",Women,957000,2020
617,Professional and related occupations,Women,353000,2020
618,Protective service occupations,Women,46000,2020
619,"Service occupations, except protective",Women,3274000,2020
620,Sales and related occupations,Women,592000,2020
621,Office and administrative support occupations,Women,437000,2020
622,"Farming, fishing, and forestry occupations",Women,1000,2020
623,Construction and extraction occupations,Women,1000,2020
624,"Installation, maintenance, and repair occupations",Women,5000,2020
625,Production occupations,Women,52000,2020
626,Transportation and material moving occupations,Women,69000,2020
627,"Management, business, and financial operations occupations",Women,442000,2020
628,Professional and related occupations,Women,441000,2020
629,Protective service occupations,Women,3000,2020
630,"Service occupations, except protective",Women,1930000,2020
631,Sales and related occupations,Women,88000,2020
632,Office and administrative support occupations,Women,449000,2020
633,"Farming, fishing, and forestry occupations",Women,3000,2020
634,Construction and extraction occupations,Women,2000,2020
635,"Installation, maintenance, and repair occupations",Women,23000,2020
636,Production occupations,Women,114000,2020
637,Transportation and material moving occupations,Women,50000,2020
638,"Management, business, and financial operations occupations",Women,437000,2020
639,Professional and related occupations,Women,438000,2020
640,Protective service occupations,Women,3000,2020
641,"Service occupations, except protective",Women,1371000,2020
642,Sales and related occupations,Women,88000,2020
643,Office and administrative support occupations,Women,441000,2020
644,"Farming, fishing, and forestry occupations",Women,3000,2020
645,Construction and extraction occupations,Women,2000,2020
646,"Installation, maintenance, and repair occupations",Women,23000,2020
647,Production occupations,Women,110000,2020
648,Transportation and material moving occupations,Women,48000,2020
649,"Management, business, and financial operations occupations",Women,5000,2020
650,Professional and related occupations,Women,3000,2020
651,Protective service occupations,Women,0,2020
652,"Service occupations, except protective",Women,559000,2020
653,Sales and related occupations,Women,0,2020
654,Office and administrative support occupations,Women,8000,2020
655,"Farming, fishing, and forestry occupations",Women,0,2020
656,Construction and extraction occupations,Women,0,2020
657,"Installation, maintenance, and repair occupations",Women,0,2020
658,Production occupations,Women,4000,2020
659,Transportation and material moving occupations,Women,2000,2020
660,"Management, business, and financial operations occupations",Women,770000,2020
661,Professional and related occupations,Women,1066000,2020
662,Protective service occupations,Women,391000,2020
663,"Service occupations, except protective",Women,229000,2020
664,Sales and related occupations,Women,26000,2020
665,Office and administrative support occupations,Women,951000,2020
666,"Farming, fishing, and forestry occupations",Women,5000,2020
667,Construction and extraction occupations,Women,5000,2020
668,"Installation, maintenance, and repair occupations",Women,3000,2020
669,Production occupations,Women,10000,2020
670,Transportation and material moving occupations,Women,24000,2020
1595,"Manage-ment, business, and financial operations occupations",Men,745000,2019
1596,Professional and related occupations,Men,28000,2019
1597,Protective service occupations,Men,13000,2019
1598,"Service occupations, except protective",Men,62000,2019
1599,Sales and related occupations,Men,8000,2019
1600,Office and administrative support occupations,Men,14000,2019
1601,"Farming, fishing, and forestry occupations",Men,774000,2019
1602,Construction and extraction occupations,Men,12000,2019
1603,"Installation, maintenance, and repair occupations",Men,26000,2019
1604,Production occupations,Men,32000,2019
1605,Transportation and material moving occupations,Men,76000,2019
1606,"Manage-ment, business, and financial operations occupations",Men,115000,2019
1607,Professional and related occupations,Men,104000,2019
1608,Protective service occupations,Men,2000,2019
1609,"Service occupations, except protective",Men,2000,2019
1610,Sales and related occupations,Men,8000,2019
1611,Office and administrative support occupations,Men,26000,2019
1612,"Farming, fishing, and forestry occupations",Men,0,2019
1613,Construction and extraction occupations,Men,205000,2019
1614,"Installation, maintenance, and repair occupations",Men,52000,2019
1615,Production occupations,Men,39000,2019
1616,Transportation and material moving occupations,Men,79000,2019
1617,"Manage-ment, business, and financial operations occupations",Men,1948000,2019
1618,Professional and related occupations,Men,235000,2019
1619,Protective service occupations,Men,17000,2019
1620,"Service occupations, except protective",Men,31000,2019
1621,Sales and related occupations,Men,83000,2019
1622,Office and administrative support occupations,Men,82000,2019
1623,"Farming, fishing, and forestry occupations",Men,4000,2019
1624,Construction and extraction occupations,Men,6822000,2019
1625,"Installation, maintenance, and repair occupations",Men,572000,2019
1626,Production occupations,Men,152000,2019
1627,Transportation and material moving occupations,Men,259000,2019
1628,"Manage-ment, business, and financial operations occupations",Men,1872000,2019
1629,Professional and related occupations,Men,1781000,2019
1630,Protective service occupations,Men,25000,2019
1631,"Service occupations, except protective",Men,159000,2019
1632,Sales and related occupations,Men,397000,2019
1633,Office and administrative support occupations,Men,510000,2019
1634,"Farming, fishing, and forestry occupations",Men,22000,2019
1635,Construction and extraction occupations,Men,283000,2019
1636,"Installation, maintenance, and repair occupations",Men,673000,2019
1637,Production occupations,Men,4423000,2019
1638,Transportation and material moving occupations,Men,966000,2019
1639,"Manage-ment, business, and financial operations occupations",Men,1207000,2019
1640,Professional and related occupations,Men,1361000,2019
1641,Protective service occupations,Men,16000,2019
1642,"Service occupations, except protective",Men,81000,2019
1643,Sales and related occupations,Men,246000,2019
1644,Office and administrative support occupations,Men,312000,2019
1645,"Farming, fishing, and forestry occupations",Men,4000,2019
1646,Construction and extraction occupations,Men,228000,2019
1647,"Installation, maintenance, and repair occupations",Men,421000,2019
1648,Production occupations,Men,3029000,2019
1649,Transportation and material moving occupations,Men,560000,2019
1650,"Manage-ment, business, and financial operations occupations",Men,666000,2019
1651,Professional and related occupations,Men,419000,2019
1652,Protective service occupations,Men,10000,2019
1653,"Service occupations, except protective",Men,78000,2019
1654,Sales and related occupations,Men,151000,2019
1655,Office and administrative support occupations,Men,197000,2019
1656,"Farming, fishing, and forestry occupations",Men,18000,2019
1657,Construction and extraction occupations,Men,55000,2019
1658,"Installation, maintenance, and repair occupations",Men,253000,2019
1659,Production occupations,Men,1394000,2019
1660,Transportation and material moving occupations,Men,406000,2019
1661,"Manage-ment, business, and financial operations occupations",Men,837000,2019
1662,Professional and related occupations,Men,516000,2019
1663,Protective service occupations,Men,37000,2019
1664,"Service occupations, except protective",Men,303000,2019
1665,Sales and related occupations,Men,5038000,2019
1666,Office and administrative support occupations,Men,1377000,2019
1667,"Farming, fishing, and forestry occupations",Men,29000,2019
1668,Construction and extraction occupations,Men,92000,2019
1669,"Installation, maintenance, and repair occupations",Men,695000,2019
1670,Production occupations,Men,361000,2019
1671,Transportation and material moving occupations,Men,1729000,2019
1672,"Manage-ment, business, and financial operations occupations",Men,346000,2019
1673,Professional and related occupations,Men,110000,2019
1674,Protective service occupations,Men,5000,2019
1675,"Service occupations, except protective",Men,30000,2019
1676,Sales and related occupations,Men,1004000,2019
1677,Office and administrative support occupations,Men,221000,2019
1678,"Farming, fishing, and forestry occupations",Men,18000,2019
1679,Construction and extraction occupations,Men,23000,2019
1680,"Installation, maintenance, and repair occupations",Men,122000,2019
1681,Production occupations,Men,89000,2019
1682,Transportation and material moving occupations,Men,550000,2019
1683,"Manage-ment, business, and financial operations occupations",Men,491000,2019
1684,Professional and related occupations,Men,406000,2019
1685,Protective service occupations,Men,32000,2019
1686,"Service occupations, except protective",Men,273000,2019
1687,Sales and related occupations,Men,4035000,2019
1688,Office and administrative support occupations,Men,1156000,2019
1689,"Farming, fishing, and forestry occupations",Men,11000,2019
1690,Construction and extraction occupations,Men,69000,2019
1691,"Installation, maintenance, and repair occupations",Men,573000,2019
1692,Production occupations,Men,272000,2019
1693,Transportation and material moving occupations,Men,1179000,2019
1694,"Manage-ment, business, and financial operations occupations",Men,631000,2019
1695,Professional and related occupations,Men,316000,2019
1696,Protective service occupations,Men,35000,2019
1697,"Service occupations, except protective",Men,89000,2019
1698,Sales and related occupations,Men,91000,2019
1699,Office and administrative support occupations,Men,1003000,2019
1700,"Farming, fishing, and forestry occupations",Men,5000,2019
1701,Construction and extraction occupations,Men,174000,2019
1702,"Installation, maintenance, and repair occupations",Men,511000,2019
1703,Production occupations,Men,335000,2019
1704,Transportation and material moving occupations,Men,3633000,2019
1705,"Manage-ment, business, and financial operations occupations",Men,310000,2019
1706,Professional and related occupations,Men,712000,2019
1707,Protective service occupations,Men,6000,2019
1708,"Service occupations, except protective",Men,45000,2019
1709,Sales and related occupations,Men,155000,2019
1710,Office and administrative support occupations,Men,106000,2019
1711,"Farming, fishing, and forestry occupations",Men,0,2019
1712,Construction and extraction occupations,Men,15000,2019
1713,"Installation, maintenance, and repair occupations",Men,239000,2019
1714,Production occupations,Men,20000,2019
1715,Transportation and material moving occupations,Men,37000,2019
1716,"Manage-ment, business, and financial operations occupations",Men,2416000,2019
1717,Professional and related occupations,Men,594000,2019
1718,Protective service occupations,Men,34000,2019
1719,"Service occupations, except protective",Men,193000,2019
1720,Sales and related occupations,Men,1117000,2019
1721,Office and administrative support occupations,Men,428000,2019
1722,"Farming, fishing, and forestry occupations",Men,0,2019
1723,Construction and extraction occupations,Men,50000,2019
1724,"Installation, maintenance, and repair occupations",Men,172000,2019
1725,Production occupations,Men,19000,2019
1726,Transportation and material moving occupations,Men,82000,2019
1727,"Manage-ment, business, and financial operations occupations",Men,2945000,2019
1728,Professional and related occupations,Men,4196000,2019
1729,Protective service occupations,Men,472000,2019
1730,"Service occupations, except protective",Men,1788000,2019
1731,Sales and related occupations,Men,380000,2019
1732,Office and administrative support occupations,Men,603000,2019
1733,"Farming, fishing, and forestry occupations",Men,10000,2019
1734,Construction and extraction occupations,Men,145000,2019
1735,"Installation, maintenance, and repair occupations",Men,249000,2019
1736,Production occupations,Men,225000,2019
1737,Transportation and material moving occupations,Men,488000,2019
1738,"Manage-ment, business, and financial operations occupations",Men,1161000,2019
1739,Professional and related occupations,Men,5383000,2019
1740,Protective service occupations,Men,112000,2019
1741,"Service occupations, except protective",Men,1357000,2019
1742,Sales and related occupations,Men,31000,2019
1743,Office and administrative support occupations,Men,419000,2019
1744,"Farming, fishing, and forestry occupations",Men,3000,2019
1745,Construction and extraction occupations,Men,77000,2019
1746,"Installation, maintenance, and repair occupations",Men,198000,2019
1747,Production occupations,Men,64000,2019
1748,Transportation and material moving occupations,Men,247000,2019
1749,"Manage-ment, business, and financial operations occupations",Men,1116000,2019
1750,Professional and related occupations,Men,566000,2019
1751,Protective service occupations,Men,143000,2019
1752,"Service occupations, except protective",Men,4233000,2019
1753,Sales and related occupations,Men,352000,2019
1754,Office and administrative support occupations,Men,230000,2019
1755,"Farming, fishing, and forestry occupations",Men,4000,2019
1756,Construction and extraction occupations,Men,37000,2019
1757,"Installation, maintenance, and repair occupations",Men,104000,2019
1758,Production occupations,Men,68000,2019
1759,Transportation and material moving occupations,Men,292000,2019
1760,"Manage-ment, business, and financial operations occupations",Men,332000,2019
1761,Professional and related occupations,Men,545000,2019
1762,Protective service occupations,Men,12000,2019
1763,"Service occupations, except protective",Men,596000,2019
1764,Sales and related occupations,Men,299000,2019
1765,Office and administrative support occupations,Men,104000,2019
1766,"Farming, fishing, and forestry occupations",Men,2000,2019
1767,Construction and extraction occupations,Men,18000,2019
1768,"Installation, maintenance, and repair occupations",Men,1030000,2019
1769,Production occupations,Men,322000,2019
1770,Transportation and material moving occupations,Men,254000,2019
1771,"Manage-ment, business, and financial operations occupations",Men,331000,2019
1772,Professional and related occupations,Men,544000,2019
1773,Protective service occupations,Men,12000,2019
1774,"Service occupations, except protective",Men,535000,2019
1775,Sales and related occupations,Men,298000,2019
1776,Office and administrative support occupations,Men,103000,2019
1777,"Farming, fishing, and forestry occupations",Men,2000,2019
1778,Construction and extraction occupations,Men,14000,2019
1779,"Installation, maintenance, and repair occupations",Men,1030000,2019
1780,Production occupations,Men,322000,2019
1781,Transportation and material moving occupations,Men,247000,2019
1782,"Manage-ment, business, and financial operations occupations",Men,1000,2019
1783,Professional and related occupations,Men,1000,2019
1784,Protective service occupations,Men,0,2019
