occupation,race,employee_new,year
"Installation, maintenance, and repair occupations",White,574000,2020
Production occupations,White,468000,2020
Transportation and material moving occupations,White,2432000,2020
"Management, business, and financial operations occupations",White,448000,2020
Professional and related occupations,White,123000,2020
Protective service occupations,White,7000,2020
"Service occupations, except protective",White,28000,2020
Sales and related occupations,White,1020000,2020
Office and administrative support occupations,White,377000,2020
"Farming, fishing, and forestry occupations",White,23000,2020
Construction and extraction occupations,White,22000,2020
"Installation, maintenance, and repair occupations",White,128000,2020
Production occupations,White,97000,2020
Transportation and material moving occupations,White,532000,2020
"Management, business, and financial operations occupations",White,893000,2020
Professional and related occupations,White,763000,2020
Protective service occupations,White,49000,2020
"Service occupations, except protective",White,439000,2020
Sales and related occupations,White,5945000,2020
Office and administrative support occupations,White,1197000,2020
"Farming, fishing, and forestry occupations",White,16000,2020
Construction and extraction occupations,White,87000,2020
"Installation, maintenance, and repair occupations",White,446000,2020
Production occupations,White,371000,2020
Transportation and material moving occupations,White,1900000,2020
"Management, business, and financial operations occupations",White,816000,2020
Professional and related occupations,White,314000,2020
Protective service occupations,White,31000,2020
"Service occupations, except protective",White,63000,2020
Sales and related occupations,White,111000,2020
Office and administrative support occupations,White,1265000,2020
"Farming, fishing, and forestry occupations",White,2000,2020
Construction and extraction occupations,White,180000,2020
"Installation, maintenance, and repair occupations",White,424000,2020
Production occupations,White,282000,2020
Transportation and material moving occupations,White,2707000,2020
"Management, business, and financial operations occupations",White,514000,2020
Professional and related occupations,White,815000,2020
Protective service occupations,White,4000,2020
"Service occupations, except protective",White,26000,2020
Sales and related occupations,White,163000,2020
Office and administrative support occupations,White,233000,2020
"Farming, fishing, and forestry occupations",White,0,2020
Construction and extraction occupations,White,11000,2020
"Installation, maintenance, and repair occupations",White,168000,2020
Production occupations,White,20000,2020
Transportation and material moving occupations,White,21000,2020
"Management, business, and financial operations occupations",White,3756000,2020
Professional and related occupations,White,755000,2020
Protective service occupations,White,37000,2020
"Service occupations, except protective",White,169000,2020
Sales and related occupations,White,1908000,2020
Office and administrative support occupations,White,1529000,2020
"Farming, fishing, and forestry occupations",White,1000,2020
Construction and extraction occupations,White,38000,2020
"Installation, maintenance, and repair occupations",White,133000,2020
Production occupations,White,33000,2020
Transportation and material moving occupations,White,70000,2020
"Management, business, and financial operations occupations",White,4090000,2020
Professional and related occupations,White,4948000,2020
Protective service occupations,White,314000,2020
"Service occupations, except protective",White,2250000,2020
Sales and related occupations,White,502000,2020
Office and administrative support occupations,White,1536000,2020
"Farming, fishing, and forestry occupations",White,12000,2020
Construction and extraction occupations,White,125000,2020
"Installation, maintenance, and repair occupations",White,220000,2020
Production occupations,White,209000,2020
Transportation and material moving occupations,White,399000,2020
"Management, business, and financial operations occupations",White,2883000,2020
Professional and related occupations,White,15241000,2020
Protective service occupations,White,140000,2020
"Service occupations, except protective",White,4313000,2020
Sales and related occupations,White,113000,2020
Office and administrative support occupations,White,2509000,2020
"Farming, fishing, and forestry occupations",White,5000,2020
Construction and extraction occupations,White,61000,2020
"Installation, maintenance, and repair occupations",White,160000,2020
Production occupations,White,133000,2020
Transportation and material moving occupations,White,260000,2020
"Management, business, and financial operations occupations",White,1595000,2020
Professional and related occupations,White,639000,2020
Protective service occupations,White,122000,2020
"Service occupations, except protective",White,4859000,2020
Sales and related occupations,White,586000,2020
Office and administrative support occupations,White,447000,2020
"Farming, fishing, and forestry occupations",White,7000,2020
Construction and extraction occupations,White,25000,2020
"Installation, maintenance, and repair occupations",White,76000,2020
Production occupations,White,77000,2020
Transportation and material moving occupations,White,258000,2020
"Management, business, and financial operations occupations",White,635000,2020
Professional and related occupations,White,796000,2020
Protective service occupations,White,15000,2020
"Service occupations, except protective",White,1741000,2020
Sales and related occupations,White,289000,2020
Office and administrative support occupations,White,458000,2020
"Farming, fishing, and forestry occupations",White,3000,2020
Construction and extraction occupations,White,20000,2020
"Installation, maintenance, and repair occupations",White,839000,2020
Production occupations,White,283000,2020
Transportation and material moving occupations,White,217000,2020
"Management, business, and financial operations occupations",White,630000,2020
Professional and related occupations,White,790000,2020
Protective service occupations,White,15000,2020
"Service occupations, except protective",White,1249000,2020
Sales and related occupations,White,289000,2020
Office and administrative support occupations,White,450000,2020
"Farming, fishing, and forestry occupations",White,3000,2020
Construction and extraction occupations,White,20000,2020
"Installation, maintenance, and repair occupations",White,839000,2020
Production occupations,White,280000,2020
Transportation and material moving occupations,White,208000,2020
"Management, business, and financial operations occupations",White,5000,2020
Professional and related occupations,White,6000,2020
Protective service occupations,White,0,2020
"Service occupations, except protective",White,492000,2020
Sales and related occupations,White,0,2020
Office and administrative support occupations,White,8000,2020
"Farming, fishing, and forestry occupations",White,0,2020
Construction and extraction occupations,White,0,2020
"Installation, maintenance, and repair occupations",White,0,2020
Production occupations,White,3000,2020
Transportation and material moving occupations,White,9000,2020
"Management, business, and financial operations occupations",White,1060000,2020
Professional and related occupations,White,1437000,2020
Protective service occupations,White,1482000,2020
"Service occupations, except protective",White,267000,2020
Sales and related occupations,White,23000,2020
Office and administrative support occupations,White,903000,2020
"Farming, fishing, and forestry occupations",White,13000,2020
Construction and extraction occupations,White,76000,2020
"Installation, maintenance, and repair occupations",White,113000,2020
Production occupations,White,62000,2020
Transportation and material moving occupations,White,67000,2020
"Management, business, and financial operations occupations",Black or African American,6000,2020
Professional and related occupations,Black or African American,5000,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,4000,2020
Sales and related occupations,Black or African American,1000,2020
Office and administrative support occupations,Black or African American,1000,2020
"Farming, fishing, and forestry occupations",Black or African American,38000,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,3000,2020
Production occupations,Black or African American,2000,2020
Transportation and material moving occupations,Black or African American,4000,2020
"Management, business, and financial operations occupations",Black or African American,4000,2020
Professional and related occupations,Black or African American,2000,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,0,2020
Sales and related occupations,Black or African American,0,2020
Office and administrative support occupations,Black or African American,0,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,12000,2020
"Installation, maintenance, and repair occupations",Black or African American,2000,2020
Production occupations,Black or African American,3000,2020
Transportation and material moving occupations,Black or African American,8000,2020
"Management, business, and financial operations occupations",Black or African American,80000,2020
Professional and related occupations,Black or African American,25000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,2000,2020
Sales and related occupations,Black or African American,6000,2020
Office and administrative support occupations,Black or African American,19000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,417000,2020
"Installation, maintenance, and repair occupations",Black or African American,52000,2020
Production occupations,Black or African American,11000,2020
Transportation and material moving occupations,Black or African American,31000,2020
"Management, business, and financial operations occupations",Black or African American,148000,2020
Professional and related occupations,Black or African American,130000,2020
Protective service occupations,Black or African American,5000,2020
"Service occupations, except protective",Black or African American,30000,2020
Sales and related occupations,Black or African American,32000,2020
Office and administrative support occupations,Black or African American,103000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,22000,2020
"Installation, maintenance, and repair occupations",Black or African American,65000,2020
Production occupations,Black or African American,744000,2020
Transportation and material moving occupations,Black or African American,212000,2020
"Management, business, and financial operations occupations",Black or African American,96000,2020
Professional and related occupations,Black or African American,88000,2020
Protective service occupations,Black or African American,1000,2020
"Service occupations, except protective",Black or African American,15000,2020
Sales and related occupations,Black or African American,12000,2020
Office and administrative support occupations,Black or African American,55000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,15000,2020
"Installation, maintenance, and repair occupations",Black or African American,45000,2020
Production occupations,Black or African American,424000,2020
Transportation and material moving occupations,Black or African American,117000,2020
"Management, business, and financial operations occupations",Black or African American,53000,2020
Professional and related occupations,Black or African American,42000,2020
Protective service occupations,Black or African American,4000,2020
"Service occupations, except protective",Black or African American,15000,2020
Sales and related occupations,Black or African American,20000,2020
Office and administrative support occupations,Black or African American,48000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,7000,2020
"Installation, maintenance, and repair occupations",Black or African American,20000,2020
Production occupations,Black or African American,320000,2020
Transportation and material moving occupations,Black or African American,96000,2020
"Management, business, and financial operations occupations",Black or African American,117000,2020
Professional and related occupations,Black or African American,121000,2020
Protective service occupations,Black or African American,9000,2020
"Service occupations, except protective",Black or African American,80000,2020
Sales and related occupations,Black or African American,948000,2020
Office and administrative support occupations,Black or African American,230000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,11000,2020
"Installation, maintenance, and repair occupations",Black or African American,37000,2020
Production occupations,Black or African American,62000,2020
Transportation and material moving occupations,Black or African American,615000,2020
"Management, business, and financial operations occupations",Black or African American,28000,2020
Professional and related occupations,Black or African American,17000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,7000,2020
Sales and related occupations,Black or African American,51000,2020
Office and administrative support occupations,Black or African American,34000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,8000,2020
Production occupations,Black or African American,19000,2020
Transportation and material moving occupations,Black or African American,129000,2020
"Management, business, and financial operations occupations",Black or African American,89000,2020
Professional and related occupations,Black or African American,104000,2020
Protective service occupations,Black or African American,7000,2020
"Service occupations, except protective",Black or African American,73000,2020
Sales and related occupations,Black or African American,896000,2020
Office and administrative support occupations,Black or African American,196000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,10000,2020
"Installation, maintenance, and repair occupations",Black or African American,29000,2020
Production occupations,Black or African American,43000,2020
Transportation and material moving occupations,Black or African American,486000,2020
"Management, business, and financial operations occupations",Black or African American,117000,2020
Professional and related occupations,Black or African American,40000,2020
Protective service occupations,Black or African American,9000,2020
"Service occupations, except protective",Black or African American,25000,2020
Sales and related occupations,Black or African American,27000,2020
Office and administrative support occupations,Black or African American,399000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,21000,2020
"Installation, maintenance, and repair occupations",Black or African American,52000,2020
Production occupations,Black or African American,47000,2020
Transportation and material moving occupations,Black or African American,862000,2020
"Management, business, and financial operations occupations",Black or African American,59000,2020
Professional and related occupations,Black or African American,98000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,6000,2020
Sales and related occupations,Black or African American,23000,2020
Office and administrative support occupations,Black or African American,67000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,39000,2020
Production occupations,Black or African American,2000,2020
Transportation and material moving occupations,Black or African American,0,2020
"Management, business, and financial operations occupations",Black or African American,461000,2020
Professional and related occupations,Black or African American,97000,2020
Protective service occupations,Black or African American,17000,2020
"Service occupations, except protective",Black or African American,33000,2020
Sales and related occupations,Black or African American,190000,2020
Office and administrative support occupations,Black or African American,274000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,7000,2020
"Installation, maintenance, and repair occupations",Black or African American,20000,2020
Production occupations,Black or African American,6000,2020
Transportation and material moving occupations,Black or African American,10000,2020
"Management, business, and financial operations occupations",Black or African American,366000,2020
Professional and related occupations,Black or African American,482000,2020
Protective service occupations,Black or African American,183000,2020
"Service occupations, except protective",Black or African American,320000,2020
Sales and related occupations,Black or African American,38000,2020
Office and administrative support occupations,Black or African American,296000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,13000,2020
"Installation, maintenance, and repair occupations",Black or African American,31000,2020
Production occupations,Black or African American,30000,2020
Transportation and material moving occupations,Black or African American,109000,2020
"Management, business, and financial operations occupations",Black or African American,517000,2020
Professional and related occupations,Black or African American,2282000,2020
Protective service occupations,Black or African American,31000,2020
"Service occupations, except protective",Black or African American,1598000,2020
Sales and related occupations,Black or African American,16000,2020
Office and administrative support occupations,Black or African American,471000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,16000,2020
"Installation, maintenance, and repair occupations",Black or African American,26000,2020
Production occupations,Black or African American,24000,2020
Transportation and material moving occupations,Black or African American,74000,2020
"Management, business, and financial operations occupations",Black or African American,190000,2020
Professional and related occupations,Black or African American,75000,2020
Protective service occupations,Black or African American,12000,2020
"Service occupations, except protective",Black or African American,855000,2020
Sales and related occupations,Black or African American,175000,2020
Office and administrative support occupations,Black or African American,81000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,5000,2020
"Installation, maintenance, and repair occupations",Black or African American,6000,2020
Production occupations,Black or African American,19000,2020
Transportation and material moving occupations,Black or African American,47000,2020
"Management, business, and financial operations occupations",Black or African American,77000,2020
Professional and related occupations,Black or African American,108000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,271000,2020
Sales and related occupations,Black or African American,34000,2020
Office and administrative support occupations,Black or African American,42000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,3000,2020
"Installation, maintenance, and repair occupations",Black or African American,74000,2020
Production occupations,Black or African American,34000,2020
Transportation and material moving occupations,Black or African American,48000,2020
"Management, business, and financial operations occupations",Black or African American,77000,2020
Professional and related occupations,Black or African American,108000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,212000,2020
Sales and related occupations,Black or African American,34000,2020
Office and administrative support occupations,Black or African American,42000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,3000,2020
"Installation, maintenance, and repair occupations",Black or African American,74000,2020
Production occupations,Black or African American,31000,2020
Transportation and material moving occupations,Black or African American,47000,2020
"Management, business, and financial operations occupations",Black or African American,0,2020
Professional and related occupations,Black or African American,0,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,59000,2020
Sales and related occupations,Black or African American,0,2020
Office and administrative support occupations,Black or African American,0,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,0,2020
"Installation, maintenance, and repair occupations",Black or African American,0,2020
Production occupations,Black or African American,3000,2020
Transportation and material moving occupations,Black or African American,0,2020
"Management, business, and financial operations occupations",Black or African American,243000,2020
Professional and related occupations,Black or African American,354000,2020
Protective service occupations,Black or African American,315000,2020
"Service occupations, except protective",Black or African American,72000,2020
Sales and related occupations,Black or African American,9000,2020
Office and administrative support occupations,Black or African American,249000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,10000,2020
"Installation, maintenance, and repair occupations",Black or African American,15000,2020
Production occupations,Black or African American,11000,2020
Transportation and material moving occupations,Black or African American,36000,2020
"Management, business, and financial operations occupations",Asian,7000,2020
Professional and related occupations,Asian,3000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,2000,2020
"Farming, fishing, and forestry occupations",Asian,12000,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,10000,2020
Professional and related occupations,Asian,13000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,3000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,0,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,50000,2020
Professional and related occupations,Asian,35000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,2000,2020
Office and administrative support occupations,Asian,15000,2020
"Farming, fishing, and forestry occupations",Asian,1000,2020
Construction and extraction occupations,Asian,94000,2020
"Installation, maintenance, and repair occupations",Asian,13000,2020
Production occupations,Asian,2000,2020
Transportation and material moving occupations,Asian,3000,2020
"Management, business, and financial operations occupations",Asian,209000,2020
Professional and related occupations,Asian,357000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,31000,2020
Office and administrative support occupations,Asian,45000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,6000,2020
"Installation, maintenance, and repair occupations",Asian,16000,2020
Production occupations,Asian,300000,2020
Transportation and material moving occupations,Asian,47000,2020
"Management, business, and financial operations occupations",Asian,132000,2020
Professional and related occupations,Asian,257000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,5000,2020
Sales and related occupations,Asian,15000,2020
Office and administrative support occupations,Asian,29000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,4000,2020
"Installation, maintenance, and repair occupations",Asian,12000,2020
Production occupations,Asian,200000,2020
Transportation and material moving occupations,Asian,21000,2020
"Management, business, and financial operations occupations",Asian,77000,2020
Professional and related occupations,Asian,100000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,5000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,16000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,5000,2020
Production occupations,Asian,100000,2020
Transportation and material moving occupations,Asian,26000,2020
"Management, business, and financial operations occupations",Asian,105000,2020
Professional and related occupations,Asian,166000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,37000,2020
Sales and related occupations,Asian,496000,2020
Office and administrative support occupations,Asian,82000,2020
"Farming, fishing, and forestry occupations",Asian,3000,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,19000,2020
Production occupations,Asian,26000,2020
Transportation and material moving occupations,Asian,143000,2020
"Management, business, and financial operations occupations",Asian,33000,2020
Professional and related occupations,Asian,25000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,1000,2020
Sales and related occupations,Asian,68000,2020
Office and administrative support occupations,Asian,20000,2020
"Farming, fishing, and forestry occupations",Asian,3000,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,7000,2020
Transportation and material moving occupations,Asian,21000,2020
"Management, business, and financial operations occupations",Asian,72000,2020
Professional and related occupations,Asian,141000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,36000,2020
Sales and related occupations,Asian,428000,2020
Office and administrative support occupations,Asian,61000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,16000,2020
Production occupations,Asian,19000,2020
Transportation and material moving occupations,Asian,122000,2020
"Management, business, and financial operations occupations",Asian,53000,2020
Professional and related occupations,Asian,40000,2020
Protective service occupations,Asian,4000,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,10000,2020
Office and administrative support occupations,Asian,114000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,3000,2020
"Installation, maintenance, and repair occupations",Asian,19000,2020
Production occupations,Asian,10000,2020
Transportation and material moving occupations,Asian,199000,2020
"Management, business, and financial operations occupations",Asian,64000,2020
Professional and related occupations,Asian,158000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,2000,2020
Sales and related occupations,Asian,8000,2020
Office and administrative support occupations,Asian,15000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,4000,2020
Production occupations,Asian,1000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,392000,2020
Professional and related occupations,Asian,208000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,129000,2020
Office and administrative support occupations,Asian,88000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,493000,2020
Professional and related occupations,Asian,1025000,2020
Protective service occupations,Asian,25000,2020
"Service occupations, except protective",Asian,60000,2020
Sales and related occupations,Asian,31000,2020
Office and administrative support occupations,Asian,103000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,5000,2020
"Installation, maintenance, and repair occupations",Asian,18000,2020
Production occupations,Asian,17000,2020
Transportation and material moving occupations,Asian,12000,2020
"Management, business, and financial operations occupations",Asian,181000,2020
Professional and related occupations,Asian,1429000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,328000,2020
Sales and related occupations,Asian,7000,2020
Office and administrative support occupations,Asian,161000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,4000,2020
"Installation, maintenance, and repair occupations",Asian,7000,2020
Production occupations,Asian,4000,2020
Transportation and material moving occupations,Asian,9000,2020
"Management, business, and financial operations occupations",Asian,151000,2020
Professional and related occupations,Asian,39000,2020
Protective service occupations,Asian,3000,2020
"Service occupations, except protective",Asian,426000,2020
Sales and related occupations,Asian,49000,2020
Office and administrative support occupations,Asian,34000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,6000,2020
Transportation and material moving occupations,Asian,14000,2020
"Management, business, and financial operations occupations",Asian,27000,2020
Professional and related occupations,Asian,55000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,303000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,24000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,35000,2020
Production occupations,Asian,48000,2020
Transportation and material moving occupations,Asian,7000,2020
"Management, business, and financial operations occupations",Asian,24000,2020
Professional and related occupations,Asian,54000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,273000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,24000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,35000,2020
Production occupations,Asian,45000,2020
Transportation and material moving occupations,Asian,6000,2020
"Management, business, and financial operations occupations",Asian,3000,2020
Professional and related occupations,Asian,0,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,31000,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,0,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,76000,2020
Professional and related occupations,Asian,147000,2020
Protective service occupations,Asian,37000,2020
"Service occupations, except protective",Asian,29000,2020
Sales and related occupations,Asian,1000,2020
Office and administrative support occupations,Asian,43000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,4000,2020
"Manage-ment, business, and financial operations occupations",White,975000,2019
Professional and related occupations,White,38000,2019
Protective service occupations,White,14000,2019
"Service occupations, except protective",White,86000,2019
Sales and related occupations,White,15000,2019
Office and administrative support occupations,White,75000,2019
"Farming, fishing, and forestry occupations",White,904000,2019
Construction and extraction occupations,White,10000,2019
"Installation, maintenance, and repair occupations",White,24000,2019
Production occupations,White,34000,2019
Transportation and material moving occupations,White,79000,2019
"Manage-ment, business, and financial operations occupations",White,140000,2019
Professional and related occupations,White,94000,2019
Protective service occupations,White,2000,2019
"Service occupations, except protective",White,5000,2019
Sales and related occupations,White,11000,2019
Office and administrative support occupations,White,53000,2019
"Farming, fishing, and forestry occupations",White,0,2019
Construction and extraction occupations,White,194000,2019
"Installation, maintenance, and repair occupations",White,51000,2019
Production occupations,White,34000,2019
Transportation and material moving occupations,White,66000,2019
"Manage-ment, business, and financial operations occupations",White,2108000,2019
Professional and related occupations,White,246000,2019
Protective service occupations,White,19000,2019
"Service occupations, except protective",White,29000,2019
Sales and related occupations,White,111000,2019
Office and administrative support occupations,White,476000,2019
