occupation,race,employee_new,year
Construction and extraction occupations,Black or African American,3000,2020
"Installation, maintenance, and repair occupations",Black or African American,74000,2020
Production occupations,Black or African American,34000,2020
Transportation and material moving occupations,Black or African American,48000,2020
"Management, business, and financial operations occupations",Black or African American,77000,2020
Professional and related occupations,Black or African American,108000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,212000,2020
Sales and related occupations,Black or African American,34000,2020
Office and administrative support occupations,Black or African American,42000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,3000,2020
"Installation, maintenance, and repair occupations",Black or African American,74000,2020
Production occupations,Black or African American,31000,2020
Transportation and material moving occupations,Black or African American,47000,2020
"Management, business, and financial operations occupations",Black or African American,0,2020
Professional and related occupations,Black or African American,0,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,59000,2020
Sales and related occupations,Black or African American,0,2020
Office and administrative support occupations,Black or African American,0,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,0,2020
"Installation, maintenance, and repair occupations",Black or African American,0,2020
Production occupations,Black or African American,3000,2020
Transportation and material moving occupations,Black or African American,0,2020
"Management, business, and financial operations occupations",Black or African American,243000,2020
Professional and related occupations,Black or African American,354000,2020
Protective service occupations,Black or African American,315000,2020
"Service occupations, except protective",Black or African American,72000,2020
Sales and related occupations,Black or African American,9000,2020
Office and administrative support occupations,Black or African American,249000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,10000,2020
"Installation, maintenance, and repair occupations",Black or African American,15000,2020
Production occupations,Black or African American,11000,2020
Transportation and material moving occupations,Black or African American,36000,2020
"Management, business, and financial operations occupations",Asian,7000,2020
Professional and related occupations,Asian,3000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,2000,2020
"Farming, fishing, and forestry occupations",Asian,12000,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,10000,2020
Professional and related occupations,Asian,13000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,3000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,0,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,50000,2020
Professional and related occupations,Asian,35000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,0,2020
Sales and related occupations,Asian,2000,2020
Office and administrative support occupations,Asian,15000,2020
"Farming, fishing, and forestry occupations",Asian,1000,2020
Construction and extraction occupations,Asian,94000,2020
"Installation, maintenance, and repair occupations",Asian,13000,2020
Production occupations,Asian,2000,2020
Transportation and material moving occupations,Asian,3000,2020
"Management, business, and financial operations occupations",Asian,209000,2020
Professional and related occupations,Asian,357000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,31000,2020
Office and administrative support occupations,Asian,45000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,6000,2020
"Installation, maintenance, and repair occupations",Asian,16000,2020
Production occupations,Asian,300000,2020
Transportation and material moving occupations,Asian,47000,2020
"Management, business, and financial operations occupations",Asian,132000,2020
Professional and related occupations,Asian,257000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,5000,2020
Sales and related occupations,Asian,15000,2020
Office and administrative support occupations,Asian,29000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,4000,2020
"Installation, maintenance, and repair occupations",Asian,12000,2020
Production occupations,Asian,200000,2020
Transportation and material moving occupations,Asian,21000,2020
"Management, business, and financial operations occupations",Asian,77000,2020
Professional and related occupations,Asian,100000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,5000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,16000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,5000,2020
Production occupations,Asian,100000,2020
Transportation and material moving occupations,Asian,26000,2020
"Management, business, and financial operations occupations",Asian,105000,2020
Professional and related occupations,Asian,166000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,37000,2020
Sales and related occupations,Asian,496000,2020
Office and administrative support occupations,Asian,82000,2020
"Farming, fishing, and forestry occupations",Asian,3000,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,19000,2020
Production occupations,Asian,26000,2020
Transportation and material moving occupations,Asian,143000,2020
"Management, business, and financial operations occupations",Asian,33000,2020
Professional and related occupations,Asian,25000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,1000,2020
Sales and related occupations,Asian,68000,2020
Office and administrative support occupations,Asian,20000,2020
"Farming, fishing, and forestry occupations",Asian,3000,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,7000,2020
Transportation and material moving occupations,Asian,21000,2020
"Management, business, and financial operations occupations",Asian,72000,2020
Professional and related occupations,Asian,141000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,36000,2020
Sales and related occupations,Asian,428000,2020
Office and administrative support occupations,Asian,61000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,1000,2020
"Installation, maintenance, and repair occupations",Asian,16000,2020
Production occupations,Asian,19000,2020
Transportation and material moving occupations,Asian,122000,2020
"Management, business, and financial operations occupations",Asian,53000,2020
Professional and related occupations,Asian,40000,2020
Protective service occupations,Asian,4000,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,10000,2020
Office and administrative support occupations,Asian,114000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,3000,2020
"Installation, maintenance, and repair occupations",Asian,19000,2020
Production occupations,Asian,10000,2020
Transportation and material moving occupations,Asian,199000,2020
"Management, business, and financial operations occupations",Asian,64000,2020
Professional and related occupations,Asian,158000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,2000,2020
Sales and related occupations,Asian,8000,2020
Office and administrative support occupations,Asian,15000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,4000,2020
Production occupations,Asian,1000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,392000,2020
Professional and related occupations,Asian,208000,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,10000,2020
Sales and related occupations,Asian,129000,2020
Office and administrative support occupations,Asian,88000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,493000,2020
Professional and related occupations,Asian,1025000,2020
Protective service occupations,Asian,25000,2020
"Service occupations, except protective",Asian,60000,2020
Sales and related occupations,Asian,31000,2020
Office and administrative support occupations,Asian,103000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,5000,2020
"Installation, maintenance, and repair occupations",Asian,18000,2020
Production occupations,Asian,17000,2020
Transportation and material moving occupations,Asian,12000,2020
"Management, business, and financial operations occupations",Asian,181000,2020
Professional and related occupations,Asian,1429000,2020
Protective service occupations,Asian,2000,2020
"Service occupations, except protective",Asian,328000,2020
Sales and related occupations,Asian,7000,2020
Office and administrative support occupations,Asian,161000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,4000,2020
"Installation, maintenance, and repair occupations",Asian,7000,2020
Production occupations,Asian,4000,2020
Transportation and material moving occupations,Asian,9000,2020
"Management, business, and financial operations occupations",Asian,151000,2020
Professional and related occupations,Asian,39000,2020
Protective service occupations,Asian,3000,2020
"Service occupations, except protective",Asian,426000,2020
Sales and related occupations,Asian,49000,2020
Office and administrative support occupations,Asian,34000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,6000,2020
Transportation and material moving occupations,Asian,14000,2020
"Management, business, and financial operations occupations",Asian,27000,2020
Professional and related occupations,Asian,55000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,303000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,24000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,35000,2020
Production occupations,Asian,48000,2020
Transportation and material moving occupations,Asian,7000,2020
"Management, business, and financial operations occupations",Asian,24000,2020
Professional and related occupations,Asian,54000,2020
Protective service occupations,Asian,1000,2020
"Service occupations, except protective",Asian,273000,2020
Sales and related occupations,Asian,16000,2020
Office and administrative support occupations,Asian,24000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,35000,2020
Production occupations,Asian,45000,2020
Transportation and material moving occupations,Asian,6000,2020
"Management, business, and financial operations occupations",Asian,3000,2020
Professional and related occupations,Asian,0,2020
Protective service occupations,Asian,0,2020
"Service occupations, except protective",Asian,31000,2020
Sales and related occupations,Asian,0,2020
Office and administrative support occupations,Asian,0,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,0,2020
"Installation, maintenance, and repair occupations",Asian,0,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,1000,2020
"Management, business, and financial operations occupations",Asian,76000,2020
Professional and related occupations,Asian,147000,2020
Protective service occupations,Asian,37000,2020
"Service occupations, except protective",Asian,29000,2020
Sales and related occupations,Asian,1000,2020
Office and administrative support occupations,Asian,43000,2020
"Farming, fishing, and forestry occupations",Asian,0,2020
Construction and extraction occupations,Asian,2000,2020
"Installation, maintenance, and repair occupations",Asian,3000,2020
Production occupations,Asian,3000,2020
Transportation and material moving occupations,Asian,4000,2020
"Manage-ment, business, and financial operations occupations",Black or African American,8000,2019
Professional and related occupations,Black or African American,2000,2019
Protective service occupations,Black or African American,0,2019
"Service occupations, except protective",Black or African American,5000,2019
Sales and related occupations,Black or African American,0,2019
Office and administrative support occupations,Black or African American,0,2019
"Farming, fishing, and forestry occupations",Black or African American,26000,2019
Construction and extraction occupations,Black or African American,2000,2019
"Installation, maintenance, and repair occupations",Black or African American,1000,2019
Production occupations,Black or African American,2000,2019
Transportation and material moving occupations,Black or African American,7000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,10000,2019
Professional and related occupations,Black or African American,7000,2019
Protective service occupations,Black or African American,0,2019
"Service occupations, except protective",Black or African American,0,2019
Sales and related occupations,Black or African American,0,2019
Office and administrative support occupations,Black or African American,2000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,10000,2019
"Installation, maintenance, and repair occupations",Black or African American,2000,2019
Production occupations,Black or African American,2000,2019
Transportation and material moving occupations,Black or African American,6000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,85000,2019
Professional and related occupations,Black or African American,16000,2019
Protective service occupations,Black or African American,4000,2019
"Service occupations, except protective",Black or African American,4000,2019
Sales and related occupations,Black or African American,6000,2019
Office and administrative support occupations,Black or African American,25000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,498000,2019
"Installation, maintenance, and repair occupations",Black or African American,45000,2019
Production occupations,Black or African American,9000,2019
Transportation and material moving occupations,Black or African American,35000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,150000,2019
Professional and related occupations,Black or African American,136000,2019
Protective service occupations,Black or African American,5000,2019
"Service occupations, except protective",Black or African American,33000,2019
Sales and related occupations,Black or African American,33000,2019
Office and administrative support occupations,Black or African American,136000,2019
"Farming, fishing, and forestry occupations",Black or African American,8000,2019
Construction and extraction occupations,Black or African American,20000,2019
"Installation, maintenance, and repair occupations",Black or African American,65000,2019
Production occupations,Black or African American,839000,2019
Transportation and material moving occupations,Black or African American,211000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,86000,2019
Professional and related occupations,Black or African American,92000,2019
Protective service occupations,Black or African American,4000,2019
"Service occupations, except protective",Black or African American,12000,2019
Sales and related occupations,Black or African American,18000,2019
Office and administrative support occupations,Black or African American,73000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,15000,2019
"Installation, maintenance, and repair occupations",Black or African American,40000,2019
Production occupations,Black or African American,512000,2019
Transportation and material moving occupations,Black or African American,98000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,64000,2019
Professional and related occupations,Black or African American,44000,2019
Protective service occupations,Black or African American,1000,2019
"Service occupations, except protective",Black or African American,21000,2019
Sales and related occupations,Black or African American,15000,2019
Office and administrative support occupations,Black or African American,63000,2019
"Farming, fishing, and forestry occupations",Black or African American,8000,2019
Construction and extraction occupations,Black or African American,5000,2019
"Installation, maintenance, and repair occupations",Black or African American,25000,2019
Production occupations,Black or African American,327000,2019
Transportation and material moving occupations,Black or African American,112000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,91000,2019
Professional and related occupations,Black or African American,103000,2019
Protective service occupations,Black or African American,6000,2019
"Service occupations, except protective",Black or African American,102000,2019
Sales and related occupations,Black or African American,1095000,2019
Office and administrative support occupations,Black or African American,428000,2019
"Farming, fishing, and forestry occupations",Black or African American,11000,2019
Construction and extraction occupations,Black or African American,4000,2019
"Installation, maintenance, and repair occupations",Black or African American,54000,2019
Production occupations,Black or African American,64000,2019
Transportation and material moving occupations,Black or African American,352000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,18000,2019
Professional and related occupations,Black or African American,6000,2019
Protective service occupations,Black or African American,2000,2019
"Service occupations, except protective",Black or African American,14000,2019
Sales and related occupations,Black or African American,71000,2019
Office and administrative support occupations,Black or African American,61000,2019
"Farming, fishing, and forestry occupations",Black or African American,11000,2019
Construction and extraction occupations,Black or African American,0,2019
"Installation, maintenance, and repair occupations",Black or African American,4000,2019
Production occupations,Black or African American,16000,2019
Transportation and material moving occupations,Black or African American,117000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,72000,2019
Professional and related occupations,Black or African American,97000,2019
Protective service occupations,Black or African American,4000,2019
"Service occupations, except protective",Black or African American,88000,2019
Sales and related occupations,Black or African American,1025000,2019
Office and administrative support occupations,Black or African American,366000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,4000,2019
"Installation, maintenance, and repair occupations",Black or African American,51000,2019
Production occupations,Black or African American,48000,2019
Transportation and material moving occupations,Black or African American,236000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,110000,2019
Professional and related occupations,Black or African American,47000,2019
Protective service occupations,Black or African American,7000,2019
"Service occupations, except protective",Black or African American,32000,2019
Sales and related occupations,Black or African American,19000,2019
Office and administrative support occupations,Black or African American,422000,2019
"Farming, fishing, and forestry occupations",Black or African American,1000,2019
Construction and extraction occupations,Black or African American,15000,2019
"Installation, maintenance, and repair occupations",Black or African American,51000,2019
Production occupations,Black or African American,66000,2019
Transportation and material moving occupations,Black or African American,1041000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,57000,2019
Professional and related occupations,Black or African American,88000,2019
Protective service occupations,Black or African American,4000,2019
"Service occupations, except protective",Black or African American,13000,2019
Sales and related occupations,Black or African American,36000,2019
Office and administrative support occupations,Black or African American,63000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
"Installation, maintenance, and repair occupations",Black or African American,38000,2019
Production occupations,Black or African American,3000,2019
Transportation and material moving occupations,Black or African American,8000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,432000,2019
Professional and related occupations,Black or African American,90000,2019
Protective service occupations,Black or African American,12000,2019
"Service occupations, except protective",Black or African American,49000,2019
Sales and related occupations,Black or African American,201000,2019
Office and administrative support occupations,Black or African American,293000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,8000,2019
"Installation, maintenance, and repair occupations",Black or African American,25000,2019
Production occupations,Black or African American,4000,2019
Transportation and material moving occupations,Black or African American,16000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,378000,2019
Professional and related occupations,Black or African American,475000,2019
Protective service occupations,Black or African American,200000,2019
"Service occupations, except protective",Black or African American,318000,2019
Sales and related occupations,Black or African American,61000,2019
Office and administrative support occupations,Black or African American,321000,2019
"Farming, fishing, and forestry occupations",Black or African American,3000,2019
Construction and extraction occupations,Black or African American,15000,2019
"Installation, maintenance, and repair occupations",Black or African American,30000,2019
Production occupations,Black or African American,39000,2019
Transportation and material moving occupations,Black or African American,117000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,452000,2019
Professional and related occupations,Black or African American,2398000,2019
Protective service occupations,Black or African American,41000,2019
"Service occupations, except protective",Black or African American,1851000,2019
Sales and related occupations,Black or African American,18000,2019
Office and administrative support occupations,Black or African American,500000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,12000,2019
"Installation, maintenance, and repair occupations",Black or African American,26000,2019
Production occupations,Black or African American,22000,2019
Transportation and material moving occupations,Black or African American,98000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,204000,2019
Professional and related occupations,Black or African American,97000,2019
Protective service occupations,Black or African American,27000,2019
"Service occupations, except protective",Black or African American,1166000,2019
Sales and related occupations,Black or African American,225000,2019
Office and administrative support occupations,Black or African American,105000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
"Installation, maintenance, and repair occupations",Black or African American,11000,2019
Production occupations,Black or African American,27000,2019
Transportation and material moving occupations,Black or African American,51000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,69000,2019
Professional and related occupations,Black or African American,121000,2019
Protective service occupations,Black or African American,2000,2019
"Service occupations, except protective",Black or African American,351000,2019
Sales and related occupations,Black or African American,40000,2019
Office and administrative support occupations,Black or African American,62000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,4000,2019
"Installation, maintenance, and repair occupations",Black or African American,79000,2019
Production occupations,Black or African American,47000,2019
Transportation and material moving occupations,Black or African American,36000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,69000,2019
Professional and related occupations,Black or African American,118000,2019
Protective service occupations,Black or African American,2000,2019
"Service occupations, except protective",Black or African American,252000,2019
Sales and related occupations,Black or African American,40000,2019
Office and administrative support occupations,Black or African American,62000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,2000,2019
"Installation, maintenance, and repair occupations",Black or African American,79000,2019
Production occupations,Black or African American,47000,2019
Transportation and material moving occupations,Black or African American,36000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,0,2019
Professional and related occupations,Black or African American,2000,2019
Protective service occupations,Black or African American,0,2019
"Service occupations, except protective",Black or African American,99000,2019
Sales and related occupations,Black or African American,0,2019
Office and administrative support occupations,Black or African American,0,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
